MSFT,TSLA,FB,NVDA,JPM,JNJ,HD,UNH,BAC,PG,V,MA,ADBE,PFE,NFLX,DIS,CSCO,ORCL,CRM,KO,COST,TMO,ACN,ABT,PEP,CVX,DHR,LLY,PYPL,ABBV,CMCSA,INTC,NKE,VZ,QCOM,WFC,MCD,INTU,MRK,TXN,LIN,MS,AMD,NEE,T,LOW,C,HON,UNP,SCHW,MDT,PM,UPS,AMAT,BLK,GS,SBUX,AXP,FDX,BMY,CVS,IBM,AMT,AMGN,ISRG,PLD,MRNA,TGT,CAT,GM,LRCX,MMM,ADI,ADP,COP,F,LMT,MU,SYK,EL,GILD,MMC,MDLZ,PNC,XOM,BA,CME,CI,CCI,CSX,BDX,CL,FIS,ATVI,AON,USB,CB,FISV,COF,FCX
MSQ$0621140C,TSL$1219330C,FB$0921315C,UVA$0119147C,JPM$1220106C,JNJ$022185C,HD$0621275C,WLP$0719200C,BAC$022032C,PCG$092120C,V$0321285C,MA$1220200C,AEQ$1221580C,PFE$022035C,NFL$0419365C,DIS$0119130C,CYQ$091970C,ORQ$082061C,CRM$1220282.5C,KO$092020C,PRQ$0921380C,TMO$0321300C,ACN$0221310C,ABT$062084C,PEP$0221100C,CVX$1019129C,DH1$061975C,LLY$0920100C,PYP$0621325C,ABB$062081C,CCQ$042041.5C,INQ$022156.5C,NKE$071990C,VZ$031954.5C,QAQ$0920165C,WFC$111958.5C,MCD$1121350C,IQU$1221630C,MRK$032071C,TXN$0221170C,PX$0220145C,MS$1121145C,AMD$122074C,FPL$082162.5C,T$032128.5C,LOW$0719103C,C$122070.0C,HN3$0621105C,UNP$0321115C,SHQ$062030.5C,MD1$0719103C,PM$082165C,UPS$011996C,ANQ$072068C,BLK$0720550C,GS$1220150C,SQX$0321120C,AXP$092088C,FDX$0621295C,BMY$112090C,CVS$091956C,IBM$1220165C,AMT$0321250C,AMQ$0719170C,AXQ$0419710C,,,TGT$071989C,CAT$0621235C,GMU$121926C,LMQ$1221655C,MMM$0821220C,ADI$0719103C,AD1$1121170C,COP$032017C,F$09196.5C,LMT$0921310C,MU$022190C,SDQ$0619190C,EL$0220210C,GDQ$091958C,,KFT$052052.5C,PNC$0720113C,XOM$032047C,BA$0720133C,CME$1219190C,CI$0221215C,,CSX$011972C,BDX$0521155C,CL$022062C,,AQV$121968C,,USB$111942.5C,,FQV$091990C,COF$062090C,FCX$102015C
MSQ$0621145C,TSL$1219335C,FB$0921320C,UVA$0119148C,JPM$1220107C,JNJ$022190C,HD$0621280C,WLP$0719210C,BAC$022033C,PCG$09214C,V$0321290C,MA$1220205C,AEQ$1221585C,PFE$022036C,NFL$0419370C,DIS$0119135C,CYQ$091975C,ORQ$082062C,CRM$1220285C,KO$092023C,PRQ$0921385C,TMO$0321310C,ACN$0221315C,ABT$062085C,PEP$0221105C,CVX$1019130C,DH1$061980C,LLY$0920105C,PYP$0621330C,ABB$062082C,CCQ$042042.5C,INQ$022158.5C,NKE$071991C,VZ$031955.5C,QAQ$0920170C,WFC$111959.5C,MCD$1121360C,IQU$1221635C,MRK$032071.5C,TXN$0221175C,PX$0220150C,MS$1121150C,AMD$122075C,FPL$082167.5C,T$032129.0C,LOW$0719104C,C$122071.0C,HN3$0621120C,UNP$0321120C,SHQ$062033.5C,MD1$0719104C,PM$082170C,UPS$011996.5C,ANQ$072069C,BLK$0720555C,GS$1220155C,SQX$0321125C,AXP$092089C,FDX$0621300C,BMY$091930C,CVS$091957C,IBM$1220170C,AMT$0321255C,AMQ$0719175C,AXQ$0419715C,,,TGT$071990C,CAT$0621240C,GMU$121927C,LMQ$1221660C,MMM$0821225C,ADI$0719104C,AD1$1121175C,COP$032018C,F$09197.00C,LMT$0921315C,MU$022191C,SDQ$0619195C,EL$0220220C,GDQ$091959C,,KFT$052053.5C,PNC$0720114C,XOM$032048C,BA$0720134C,CME$1219195C,CI$0221220C,,CSX$011972.5C,BDX$0521160C,CL$022063C,,AQV$121970C,,USB$111947.5C,,FQV$091995C,COF$062095C,FCX$102016C
MSQ$0621150C,TSL$1219340C,FB$0921325C,UVA$0119149C,JPM$1220108C,JNJ$022195C,HD$0621285C,WLP$0719220C,BAC$022034C,PCG$041910C,V$0321295C,MA$1220210C,AEQ$1221590C,PFE$022037C,NFL$0419375C,DIS$0119140C,CYQ$091980C,ORQ$082063C,CRM$1220290C,KO$092025C,PRQ$0921390C,TMO$0321320C,ACN$0221320C,ABT$062086C,PEP$0221110C,CVX$1019131C,DH1$061985C,LLY$0920110C,PYP$0621340C,ABB$062083C,CCQ$042047.5C,INQ$022159.5C,NKE$071992C,VZ$031956.5C,QAQ$092045C,WFC$102117.5C,MCD$0821120C,IQU$1221640C,MRK$032072C,TXN$0221180C,PX$0220155C,MS$112145C,AMD$122076C,FPL$082172.5C,T$032129.5C,LOW$0719105C,C$122072.5C,HN3$0621125C,UNP$0321125C,SHQ$062034.5C,MD1$0719105C,PM$082175C,UPS$011997C,ANQ$072070C,BLK$0720560C,GS$1220160C,SQX$0321130C,AXP$092090C,FDX$0621305C,BMY$091931C,CVS$091958C,IBM$1220175C,AMT$0321260C,AMQ$0719180C,AXQ$0419720C,,,TGT$071991C,CAT$0621245C,GMU$121928C,LMQ$1221665C,MMM$0821230C,ADI$0719105C,AD1$1121180C,COP$032019C,F$09197.5C,LMT$0921320C,MU$022192C,SDQ$0619200C,EL$0220230C,GDQ$091960C,,KFT$052054.5C,PNC$0720115C,XOM$032049C,BA$0720135C,CME$1219200C,CI$0221225C,,CSX$011973C,BDX$0521180C,CL$022064C,,AQV$121975C,,USB$111948.5C,,FQV$0820100C,COF$0321100C,FCX$102017C
MSQ$0621155C,TSL$1219345C,FB$0921330C,UVA$0119150C,JPM$1220109C,JNJ$0719100C,HD$0621290C,WLP$0719230C,BAC$022035C,PCG$041912C,V$0321300C,MA$1220215C,AEQ$1221595C,PFE$022038C,NFL$0419380C,DIS$0119145C,CYQ$082025C,ORQ$082065C,CRM$1220295C,KO$092030C,PRQ$0921395C,TMO$0321330C,ACN$0221325C,ABT$062087C,PEP$0221115C,CVX$1019132C,DH1$061990C,LLY$0920115C,PYP$0621350C,ABB$062084C,CCQ$042052.5C,INQ$022161.5C,NKE$071993C,VZ$031957.5C,QAQ$092050C,WFC$102122.5C,MCD$0821125C,IQU$1221645C,MRK$032072.5C,TXN$0221185C,PX$0220160C,MS$112150C,AMD$122077C,FPL$082177.5C,T$032130.0C,LOW$0719106C,C$122075.0C,HN3$0621130C,UNP$0321130C,SHQ$062036.5C,MD1$0719106C,PM$082180C,UPS$011997.5C,ANQ$072075C,BLK$0720565C,GS$1220165C,SQX$0321135C,AXP$092091C,FDX$0621310C,BMY$091932C,CVS$091959C,IBM$1220180C,AMT$0321265C,AMQ$0719185C,AXQ$0419740C,,,TGT$071992C,CAT$0621250C,GMU$121929C,LMQ$1221670C,MMM$0821235C,ADI$0719106C,AD1$1121185C,COP$032020C,F$09198.00C,LMT$0921325C,MU$022193C,SDQ$0619210C,EL$0220240C,GDQ$091961C,,KFT$052055.5C,PNC$0720116C,XOM$032050C,BA$0720136C,CME$1219205C,CI$0221230C,,CSX$011973.5C,BDX$0521185C,CL$022065C,,AQV$032040C,,USB$111949.5C,,FQV$0820101C,COF$0321105C,FCX$102021C
MSQ$0621160C,TSL$121935C,FB$0921335C,UVA$0119155C,JPM$1220110C,JNJ$0719105C,HD$0621295C,WLP$0719235C,BAC$022036C,PCG$041915C,V$0321305C,MA$1220220C,AEQ$1221600C,PFE$022039C,NFL$0419385C,DIS$0119150C,CYQ$082030C,ORQ$082070C,CRM$1220300C,KO$092033C,PRQ$0921400C,TMO$0321340C,ACN$0221330C,ABT$062088C,PEP$0221120C,CVX$1019133C,DH1$061995C,LLY$0920120C,PYP$0621360C,ABB$062085C,CCQ$122127.5C,INQ$022162.5C,NKE$071994C,VZ$031958.5C,QAQ$092055C,WFC$102127.5C,MCD$0821130C,IQU$1221650C,MRK$032073C,TXN$0221190C,PX$0220165C,MS$112155C,AMD$122078C,FPL$082182.5C,T$032130.5C,LOW$0719107C,C$122077.5C,HN3$0621135C,UNP$0321135C,SHQ$062037.5C,MD1$0719107C,PM$082185C,UPS$011998C,ANQ$072080C,BLK$0720570C,GS$1220170C,SQX$0321140C,AXP$092092C,FDX$0621315C,BMY$091933C,CVS$091960C,IBM$1220185C,AMT$0321270C,AMQ$0719190C,AXQ$0419760C,,,TGT$071994C,CAT$0621255C,GMU$121930C,LMQ$1221675C,MMM$0821240C,ADI$0719107C,AD1$1121190C,COP$032021C,F$09198.5C,LMT$0921330C,MU$022194C,SDQ$0619220C,EL$0220250C,GDQ$091962C,,KFT$052056.5C,PNC$0720118C,XOM$032051C,BA$0720137C,CME$1219210C,CI$0221235C,,CSX$011974C,BDX$0521190C,CL$022066C,,AQV$032045C,,USB$111950.5C,,FQV$0820102C,COF$0321107C,FCX$102023C
MSQ$0621165C,TSL$1219350C,FB$0921340C,UVA$0119160C,JPM$1220111C,JNJ$0719110C,HD$0621300C,WLP$0719240C,BAC$022037C,PCG$041916C,V$0321310C,MA$1220225C,AEQ$1221605C,PFE$022040C,NFL$0419390C,DIS$0119155C,CYQ$082035C,ORQ$082075C,CRM$1220305C,KO$092035C,PRQ$0921405C,TMO$0321350C,ACN$0221335C,ABT$062089C,PEP$0221125C,CVX$1019134C,DH1$0521110C,LLY$0920125C,PYP$0621370C,ABB$062086C,CCQ$122132.5C,INQ$022167.5C,NKE$071995C,VZ$031959.5C,QAQ$092060C,WFC$102132.5C,MCD$0821135C,IQU$1221655C,MRK$032073.5C,TXN$0221195C,PX$0220170C,MS$112160C,AMD$122079C,FPL$082187.5C,T$032131.0C,LOW$0719108C,C$122080.0C,HN3$0621140C,UNP$0321140C,SHQ$062040.5C,MD1$0719108C,PM$082190C,UPS$011998.5C,ANQ$072090C,BLK$0720575C,GS$1220175C,SQX$0321145C,AXP$092093C,FDX$0621320C,BMY$091934C,CVS$091961C,IBM$1220190C,AMT$0321280C,AMQ$0719195C,AXQ$0419780C,,,TGT$071995C,CAT$0621260C,GMU$121931C,LMQ$1221680C,MMM$0821245C,ADI$0719108C,AD1$1121195C,COP$032022C,F$09199.00C,LMT$0921335C,MU$022195C,SDQ$0619230C,EL$0220260C,GDQ$091963C,,KFT$052057.5C,PNC$0720119C,XOM$032052C,BA$0720138C,CME$1219215C,CI$0221240C,,CSX$011975C,BDX$0521205C,CL$022067C,,AQV$032047C,,USB$111951.5C,,FQV$0820103C,COF$0321108C,FCX$102024C
MSQ$0621170C,TSL$1219355C,FB$0921345C,UVA$0119165C,JPM$1220112C,JNJ$0719115C,HD$0621305C,WLP$0719245C,BAC$022038C,PCG$04192C,V$0321315C,MA$1220230C,AEQ$1221610C,PFE$022041C,NFL$0419395C,DIS$0119160C,CYQ$082036C,ORQ$022030C,CRM$1220310C,KO$092038C,PRQ$0921410C,TMO$0321360C,ACN$0221340C,ABT$062090C,PEP$0221126C,CVX$1019135C,DH1$0521115C,LLY$0920130C,PYP$0621380C,ABB$062087C,CCQ$122137.5C,INQ$022172.5C,NKE$0620100C,VZ$031960.5C,QAQ$092065C,WFC$102137.5C,MCD$0821140C,IQU$1221660C,MRK$032074C,TXN$0221200C,PX$0220175C,MS$112165C,AMD$122080C,FPL$1120102.5C,T$032131.5C,LOW$0719109C,C$122082.5C,HN3$0621145C,UNP$0321145C,SHQ$062041.5C,MD1$0719109C,PM$082191C,UPS$011999C,ANQ$051927C,BLK$0720580C,GS$1220180C,SQX$0321150C,AXP$092094C,FDX$0621325C,BMY$091935C,CVS$091962C,IBM$1220195C,AMT$0321290C,AMQ$0719200C,AXQ$12201000C,,,TGT$0620100C,CAT$0621265C,GMU$121932C,LMQ$1221685C,MMM$0821250C,ADI$0719109C,AD1$1121200C,COP$032023C,F$09199.5C,LMT$0921340C,MU$022196C,SDQ$0619240C,EL$0220270C,GDQ$091964C,,KFT$052062.5C,PNC$0720121C,XOM$032053C,BA$0720139C,CME$1219220C,CI$0221245C,,CSX$011977.5C,BDX$0521210C,CL$022068C,,AQV$032048C,,USB$111952.5C,,FQV$0820104C,COF$0321109C,FCX$10203C
MSQ$0621175C,TSL$1219360C,FB$0921350C,UVA$0119170C,JPM$1220113C,JNJ$0719120C,HD$0621310C,WLP$0719250C,BAC$022039C,PCG$041921C,V$0321320C,MA$1220235C,AEQ$1221615C,PFE$022042C,NFL$0419400C,DIS$0119165C,CYQ$082037C,ORQ$022035C,CRM$1220320C,KO$092040C,PRQ$0921415C,TMO$0321370C,ACN$0221345C,ABT$062091C,PEP$0221127C,CVX$1019136C,DH1$0521120C,LLY$0920135C,PYP$0621390C,ABB$062088C,CCQ$122142.5C,INQ$071944.5C,NKE$0620101C,VZ$031961.5C,QAQ$092070C,WFC$102142.5C,MCD$0821145C,IQU$1221670C,MRK$032074.5C,TXN$0221205C,PX$0220180C,MS$112170C,AMD$122081C,FPL$1120107.5C,T$032132.0C,LOW$0719110C,C$122085.0C,HN3$0621150C,UNP$0321150C,SHQ$062042.5C,MD1$0719110C,PM$082192C,UPS$011999.5C,ANQ$051928C,BLK$0720585C,GS$1220185C,SQX$0321155C,AXP$092095C,FDX$0621330C,BMY$091936C,CVS$091963C,IBM$1220200C,AMT$0321300C,AMQ$0719210C,AXQ$12201010C,,,TGT$0620105C,CAT$0621270C,GMU$121933C,LMQ$1221690C,MMM$0821260C,ADI$0719110C,AD1$1121205C,COP$032024C,F$08201.00C,LMT$0921345C,MU$022197C,SDQ$0521125C,EL$0220280C,GDQ$091965C,,KFT$111945.5C,PNC$0720125C,XOM$032054C,BA$0720140C,CME$1219225C,CI$0221250C,,CSX$011980C,BDX$0521215C,CL$022069C,,AQV$032049C,,USB$111953.5C,,FQV$0820105C,COF$0321110C,FCX$10208C
MSQ$0621180C,TSL$1219365C,FB$0921355C,UVA$0119175C,JPM$1220114C,JNJ$0719125C,HD$0621315C,WLP$0719255C,BAC$022040C,PCG$041924C,V$0321325C,MA$1220240C,AEQ$1221620C,PFE$022043C,NFL$0419405C,DIS$011950C,CYQ$082038C,ORQ$022040C,CRM$1220330C,KO$092041C,PRQ$0921420C,TMO$0321380C,ACN$0221350C,ABT$062092C,PEP$0221128C,CVX$1019140C,DH1$0521125C,LLY$0920140C,PYP$0621400C,ABB$062089C,CCQ$122147.5C,INQ$071946.5C,NKE$0620102C,VZ$031962.5C,QAQ$092075C,WFC$102147.5C,MCD$0821150C,IQU$1221675C,MRK$032075C,TXN$0221210C,PX$0220185C,MS$112175C,AMD$122082C,FPL$1120112.5C,T$032132.5C,LOW$0719115C,C$122087.5C,HN3$0621155C,UNP$0321155C,SHQ$062052.5C,MD1$0719111C,PM$082193C,UPS$0621100C,ANQ$051929C,BLK$0720590C,GS$1220190C,SQX$032145C,AXP$092096C,FDX$0621335C,BMY$091937C,CVS$091964C,IBM$122050C,AMT$0321310C,AMQ$0719220C,AXQ$12201020C,,,TGT$0620109C,CAT$0621275C,GMU$121934C,LMQ$1221695C,MMM$0821270C,ADI$0719111C,AD1$1121210C,COP$032025C,F$08201.5C,LMT$0921350C,MU$022198C,SDQ$0521130C,EL$0220290C,GDQ$091966C,,KFT$111946.5C,PNC$0720130C,XOM$032055C,BA$0720141C,CME$1219230C,CI$0221255C,,CSX$011982.5C,BDX$0521220C,CL$022070C,,AQV$032050C,,USB$111954.5C,,FQV$0820106C,COF$0321111C,FCX$042011C
MSQ$0621185C,TSL$1219370C,FB$0921360C,UVA$0119180C,JPM$1220115C,JNJ$0719130C,HD$0621320C,WLP$0719260C,BAC$022041C,PCG$041926C,V$1121110C,MA$1220245C,AEQ$1221625C,PFE$022044C,NFL$0419410C,DIS$011955C,CYQ$082039C,ORQ$022045C,CRM$1220340C,KO$092042C,PRQ$0921425C,TMO$0321390C,ACN$0221355C,ABT$062093C,PEP$0221129C,CVX$1019145C,DH1$0521130C,LLY$0920141C,PYP$0621410C,ABB$062090C,CCQ$122152.5C,INQ$071947.5C,NKE$0620103C,VZ$031963.5C,QAQ$092080C,WFC$102152.5C,MCD$0821155C,IQU$1221690C,MRK$032076C,TXN$0221215C,PX$0220190C,MS$112180C,AMD$122083C,FPL$112033.75C,T$032133.0C,LOW$0719120C,C$122090.0C,HN3$0621160C,UNP$0321160C,SHQ$062057.5C,MD1$0719115C,PM$082194C,UPS$0621105C,ANQ$051930C,BLK$0720595C,GS$1220195C,SQX$032150C,AXP$092097C,FDX$0621340C,BMY$091938C,CVS$091965C,IBM$122055C,AMT$0321320C,AMQ$0719230C,AXQ$12201030C,,,TGT$0620110C,CAT$0621280C,GMU$121935C,LMQ$1221700C,MMM$0821280C,ADI$0719112C,AD1$1121215C,COP$032026C,F$082010.0C,LMT$0921355C,MU$022199C,SDQ$0521135C,EL$0220300C,GDQ$091967C,,KFT$111947.5C,PNC$0720140C,XOM$032056C,BA$0720142C,CME$1219235C,CI$0221260C,,CSX$011985C,BDX$0521225C,CL$022071C,,AQV$032051C,,USB$111955.5C,,FQV$0820107C,COF$0321112C,FCX$042012C
MSQ$0621190C,TSL$1219375C,FB$0921365C,UVA$0119185C,JPM$1220116C,JNJ$0719131C,HD$0621325C,WLP$0719265C,BAC$022042C,PCG$041929C,V$1121115C,MA$1220250C,AEQ$1221630C,PFE$022045C,NFL$0419415C,DIS$011960C,CYQ$082040C,ORQ$022046C,CRM$1220350C,KO$092043C,PRQ$0921430C,TMO$0321400C,ACN$0221360C,ABT$062094C,PEP$0221130C,CVX$1019150C,DH1$0521135C,LLY$0920142C,PYP$0621420C,ABB$062091C,CCQ$122157.5C,INQ$071948.5C,NKE$0620104C,VZ$031964.5C,QAQ$092085C,WFC$102157.5C,MCD$0821160C,IQU$1221700C,MRK$032076.5C,TXN$0221220C,PX$0220195C,MS$112185C,AMD$122084C,FPL$112036.25C,T$032133.5C,LOW$0719125C,C$122095.0C,HN3$0621165C,UNP$0321165C,SHQ$032156.5C,MD1$0719120C,PM$082195C,UPS$0621110C,ANQ$051931C,BLK$0720600C,GS$1220200C,SQX$032155C,AXP$092098C,FDX$0621345C,BMY$091939C,CVS$091966C,IBM$122060C,AMT$0321330C,AMQ$0719240C,AXQ$12201040C,,,TGT$0620111C,CAT$0621285C,GMU$121936C,LMQ$1221705C,MMM$0821290C,ADI$0719113C,AD1$1121220C,COP$032027C,F$082010.5C,LMT$0921360C,MU$071916C,SDQ$0521140C,EL$0619125C,GDQ$091968C,,KFT$111948.5C,PNC$0720155C,XOM$032057C,BA$0720143C,CME$1219240C,CI$0221270C,,CSX$011990C,BDX$0521230C,CL$022072C,,AQV$032052C,,USB$111956.5C,,FQV$0820108C,COF$0321113C,FCX$042015C
MSQ$0621195C,TSL$1219380C,FB$0921370C,UVA$0119190C,JPM$1220117C,JNJ$0719132C,HD$0621330C,WLP$0719270C,BAC$061916C,PCG$04193C,V$1121120C,MA$1220255C,AEQ$1221635C,PFE$022046C,NFL$0419420C,DIS$011965C,CYQ$082041C,ORQ$022047C,CRM$1220360C,KO$092044C,PRQ$0921435C,TMO$0321410C,ACN$0221365C,ABT$062095C,PEP$0221131C,CVX$1019155C,DH1$0521140C,LLY$0920143C,PYP$0621430C,ABB$062092C,CCQ$122162.5C,INQ$071949.5C,NKE$0620105C,VZ$052052.5C,QAQ$092090C,WFC$042112.5C,MCD$0821165C,IQU$1221715C,MRK$032077C,TXN$0221225C,PX$0220200C,MS$112190C,AMD$122085C,FPL$112037.5C,T$032134.0C,LOW$0719130C,C$0119100C,HN3$0621170C,UNP$0321170C,SHQ$032157.5C,MD1$0719125C,PM$082196C,UPS$0621115C,ANQ$051933C,BLK$0720610C,GS$1220205C,SQX$032160C,AXP$092099C,FDX$0621350C,BMY$091940C,CVS$091967C,IBM$122065C,AMT$0321340C,AMQ$0719250C,AXQ$12201050C,,,TGT$0620112C,CAT$0621290C,GMU$121937C,LMQ$1221710C,MMM$0821300C,ADI$0719114C,AD1$1121225C,COP$032028C,F$082011.0C,LMT$0921365C,MU$071917C,SDQ$0521145C,EL$0619130C,GDQ$091969C,,KFT$111949.5C,PNC$0720160C,XOM$032058C,BA$0720144C,CME$1219250C,CI$0221320C,,CSX$011995C,BDX$0521235C,CL$022073C,,AQV$032053C,,USB$111957.5C,,FQV$0820109C,COF$0321114C,FCX$042016C
MSQ$0621200C,TSL$1219385C,FB$0921375C,UVA$0119195C,JPM$1220118C,JNJ$0719133C,HD$0621335C,WLP$0719275C,BAC$061917C,PCG$041931C,V$1121125C,MA$1220260C,AEQ$1221640C,PFE$022047C,NFL$0419425C,DIS$011970C,CYQ$082042C,ORQ$022048C,CRM$1220370C,KO$092045C,PRQ$0921440C,TMO$0321420C,ACN$0221370C,ABT$062096C,PEP$0221132C,CVX$1019160C,DH1$0521145C,LLY$0920144C,PYP$0621440C,ABB$062093C,CCQ$122167.5C,INQ$071952.5C,NKE$0620106C,VZ$052057.5C,QAQ$092095C,WFC$042117.5C,MCD$0821170C,IQU$1221720C,MRK$032077.5C,TXN$0221230C,PX$0220210C,MS$112191C,AMD$122086C,FPL$112038.75C,T$032134.5C,LOW$0719135C,C$0119105C,HN3$0621175C,UNP$0321175C,SHQ$032160.5C,MD1$071965C,PM$082197C,UPS$0621120C,ANQ$051934C,BLK$0720620C,GS$1220210C,SQX$032165C,AXP$0221100C,FDX$0621355C,BMY$091941C,CVS$091968C,IBM$122070C,AMT$0321350C,AMQ$0719260C,AXQ$12201060C,,,TGT$0620113C,CAT$0621300C,GMU$121938C,LMQ$1221715C,MMM$1219100C,ADI$0719115C,AD1$1121230C,COP$032029C,F$082012.0C,LMT$0921370C,MU$071918C,SDQ$0521150C,EL$0619135C,GDQ$091970C,,KFT$111950.5C,PNC$0720165C,XOM$032059C,BA$0720145C,CME$0320100C,CI$0719105C,,CSX$0621100C,BDX$0521240C,CL$022074C,,AQV$032054C,,USB$111958.5C,,FQV$0820110C,COF$0321115C,FCX$042017C
MSQ$0621205C,TSL$1219390C,FB$0921380C,UVA$011920C,JPM$1220119C,JNJ$0719134C,HD$0621340C,WLP$0719280C,BAC$061918C,PCG$041933C,V$1121130C,MA$1220265C,AEQ$1221645C,PFE$061920C,NFL$0419430C,DIS$011975C,CYQ$082043C,ORQ$022049C,CRM$1220380C,KO$092046C,PRQ$0921445C,TMO$0321430C,ACN$0221375C,ABT$062097C,PEP$0221133C,CVX$101960C,DH1$0521150C,LLY$0920145C,PYP$0621450C,ABB$062094C,CCQ$012017.5C,INQ$071957.5C,NKE$0620107C,VZ$052062.5C,QAQ$092099C,WFC$042122.5C,MCD$0821175C,IQU$1221730C,MRK$032078C,TXN$022185C,PX$0220220C,MS$112192C,AMD$122087C,FPL$112041.25C,T$032135.0C,LOW$0719140C,C$0119110C,HN3$0621180C,UNP$0321180C,SHQ$032161.5C,MD1$071970C,PM$082198C,UPS$0621125C,ANQ$051935C,BLK$0720630C,GS$1220215C,SQX$032170C,AXP$0221105C,FDX$0621360C,BMY$091942C,CVS$091969C,IBM$122075C,AMT$0321360C,AMQ$0719270C,AXQ$12201070C,,,TGT$0620114C,CAT$0621310C,GMU$121939C,LMQ$1221720C,MMM$1219105C,ADI$0719116C,AD1$1121235C,COP$032030C,F$082013.0C,LMT$0921375C,MU$071919C,SDQ$0521155C,EL$0619140C,GDQ$091971C,,KFT$111951.5C,PNC$0720170C,XOM$032060C,BA$0720146C,CME$0320105C,CI$0719110C,,CSX$0621101C,BDX$0521245C,CL$022075C,,AQV$032055C,,USB$111959.5C,,FQV$0820111C,COF$0321116C,FCX$04205C
MSQ$0621210C,TSL$1219395C,FB$0921385C,UVA$0119200C,JPM$1220120C,JNJ$0719135C,HD$0621345C,WLP$0719285C,BAC$061919C,PCG$041935C,V$1121135C,MA$1220270C,AEQ$1221650C,PFE$061923C,NFL$0419435C,DIS$011980C,CYQ$082044C,ORQ$022050C,CRM$1220390C,KO$092047C,PRQ$0921450C,TMO$0321440C,ACN$0719130C,ABT$062098C,PEP$0221134C,CVX$101965C,DH1$0521155C,LLY$0920146C,PYP$062180C,ABB$062095C,CCQ$012022.5C,INQ$071962.5C,NKE$0620108C,VZ$052067.5C,QAQ$0221100C,WFC$042127.5C,MCD$0821180C,IQU$1221740C,MRK$032079C,TXN$022190C,PX$0220230C,MS$112193C,AMD$122088C,FPL$112042.5C,T$032135.5C,LOW$071950C,C$011927.5C,HN3$0621185C,UNP$0321185C,SHQ$032162.5C,MD1$071975C,PM$082199C,UPS$0621130C,ANQ$051938C,BLK$0720640C,GS$1220220C,SQX$032175C,AXP$0221109C,FDX$0621370C,BMY$091943C,CVS$091970C,IBM$122080C,AMT$1121140C,AMQ$0719280C,AXQ$12201080C,,,TGT$0620115C,CAT$0621320C,GMU$121940C,LMQ$1221725C,MMM$1219110C,ADI$0719117C,AD1$1121240C,COP$032031C,F$08202.00C,LMT$0921380C,MU$071920C,SDQ$0521160C,EL$0619145C,GDQ$091972C,,KFT$111952.5C,PNC$072050C,XOM$032061C,BA$0720147C,CME$0320110C,CI$0719120C,,CSX$0621102C,BDX$0521255C,CL$022076C,,AQV$032056C,,USB$111960.5C,,FQV$0820112C,COF$0321117C,FCX$04207C
MSQ$0621215C,TSL$121940C,FB$0921390C,UVA$0119205C,JPM$1220121C,JNJ$0719136C,HD$0621350C,WLP$0719290C,BAC$061920C,PCG$041937C,V$1121140C,MA$1220275C,AEQ$1221655C,PFE$061925C,NFL$0419440C,DIS$011985C,CYQ$082045C,ORQ$022051C,CRM$1220400C,KO$092048C,PRQ$0921455C,TMO$0321450C,ACN$0719135C,ABT$062099C,PEP$0221135C,CVX$101970C,DH1$0521160C,LLY$0920147C,PYP$062185C,ABB$062096C,CCQ$012027.5C,INQ$071967.5C,NKE$0620109C,VZ$111951.5C,QAQ$0221105C,WFC$042132.5C,MCD$0821185C,IQU$1221760C,MRK$032079.5C,TXN$022195C,PX$0220240C,MS$112194C,AMD$122089C,FPL$112043.75C,T$032136.0C,LOW$071955C,C$011930.0C,HN3$0621190C,UNP$0321190C,SHQ$032163.5C,MD1$071980C,PM$1219100C,UPS$0621135C,ANQ$051941C,BLK$0720650C,GS$1220225C,SQX$032180C,AXP$0221110C,FDX$0621380C,BMY$091944C,CVS$091971C,IBM$122085C,AMT$1121145C,AMQ$0620100C,AXQ$12201100C,,,TGT$0620116C,CAT$0621330C,GMU$121941C,LMQ$1221730C,MMM$1219115C,ADI$0719118C,AD1$1121245C,COP$032032C,F$08202.5C,LMT$0921385C,MU$071921C,SDQ$0521165C,EL$0619150C,GDQ$091973C,,KFT$111953.5C,PNC$072055C,XOM$032062C,BA$0720148C,CME$0320115C,CI$0719125C,,CSX$0621103C,BDX$0521260C,CL$022077C,,AQV$032057C,,USB$111961.5C,,FQV$0820113C,COF$0321118C,FCX$04209C
